AGGREGATE_BUNDLED v2,,,,,,,,,
all SKUs are unique,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,,GradStreet SKU,FNSKU,Packaging,Labels,order
11,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 006",ALL YEAR TAGS,,UBC0171S60T00060000K01,X0022S1TDV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",77
18,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 017",ALL YEAR TAGS,,UBC0171S60T00170000K01,X0022P8MJD,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",78
8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S60T00170310K01,X0022OD68L,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",79
26,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 019",ALL YEAR TAGS,,UBC0171S60T00190000K01,X0022P8HVV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",80
2,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 020",ALL YEAR TAGS,,UBC0171S60T00200000K01,X0022R2VHF,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",81
16,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S60T00250190K01,X0022OD5NH,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",82
32,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 60","Tassel, color 104",ALL YEAR TAGS,,UBC0171S60T01040000K01,X0022R26VB,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",83
4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 006",ALL YEAR TAGS,,UBC0171S63T00060000K01,X0022P8M8T,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",84
6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 017",ALL YEAR TAGS,,UBC0171S63T00170000K01,X0022OD2OJ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",85
3,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 017+031",ALL YEAR TAGS,,UBC0171S63T00170310K01,X0022OD587,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",86
9,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 019",ALL YEAR TAGS,,UBC0171S63T00190000K01,X0022P8HWZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",87
6,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 025+019",ALL YEAR TAGS,,UBC0171S63T00250190K01,X0022NED6B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",88
11,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 63","Tassel, color 104",ALL YEAR TAGS,,UBC0171S63T01040000K01,X0022R2CB5,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",89
1,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 39","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F39T00250190K01,X0022NEFEV,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",90
1,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 42","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F42T00250190K01,X0022Q6O3D,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",91
6,"Bachelors Gown+Cap, Black, Matte with pleats, Full Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,,UBC0173F45T00250190K01,X0022P8OYL,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU",92
