GradStreet 2019 Manufacturing Order:,,,,,,,,
PACKING GUIDE v8,,,,,,,,
"Shaoxing Phoebee Garment Co., Ltd.",,,,,,,,
* partially full box,,,,,,Barcode SKU,,
BOX NUMBER,Quantity,Bundle Item 1,Bundle Item 2,Bundle Item 3,GradStreet SKU,FNSKU,Packaging,Labels
15,4,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
16,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
17,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
18,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
19,13,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017",ALL YEAR TAGS,UBC0171S45T00170000K01,X0022P8EAZ,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
19,12,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S45T00170310K01,X0022OD69P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
20,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S45T00170310K01,X0022OD69P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
21,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 017+031",ALL YEAR TAGS,UBC0171S45T00170310K01,X0022OD69P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
21,24,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
22,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
23,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
24,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
25,16,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 019",ALL YEAR TAGS,UBC0171S45T00190000K01,X0022S1TCR,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
25,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 020",ALL YEAR TAGS,UBC0171S45T00200000K01,X0022NED7P,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
25,1,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
26,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
27,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
28,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
29,8,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 025+019",ALL YEAR TAGS,UBC0171S45T00250190K01,X0022P8MJN,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
29,17,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
30,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
31,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
32,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
33,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
34,25,"Bachelors Gown+Cap, Black, Matte NO pleats, Standard Fit, size 45","Tassel, color 104",ALL YEAR TAGS,UBC0171S45T01040000K01,X0022OD68B,Poly bag,"Brand, Suffocation, Sold as Set, FNSKU"
